0AverageReturn,1MinReturn,1Perplexity,1ExplainedVariance,0PolicyExecTime,1AverageReturn,1NumTrajs,1EnvExecTime,dLoss,0NumTrajs,1Entropy,0Entropy,MeanKL,LossBefore,ItrTime,0ProcessExecTime,1MaxReturn,0Perplexity,1AveragePolicyStd,0ExplainedVariance,0StdReturn,1PolicyExecTime,0EnvExecTime,1ProcessExecTime,0MinReturn,0AveragePolicyStd,MeanKLBefore,LossAfter,0MaxReturn,Time,1StdReturn,ComputeUpdatedDistTime
413.5,0.0,10.429,0.162601038823,2.317707061767578,565.5,200,2.400966167449951,0.00359624158591,200,2.34459,2.34435,0.00634954450652,9.31322574615e-10,12.234724044799805,0.09880590438842773,2800.0,10.4265,0.78335,0.0584899728796,801.915051611,4.197610378265381,2.296994924545288,0.10049748420715332,0.0,0.783531,0.0,-0.00359624065459,2700.0,739.4619824886322,1008.49380266,0.07996273040771484
521.5,0.0,10.0833,0.204701383062,2.5939478874206543,620.5,200,2.3766071796417236,0.00524684228003,200,2.31089,2.32864,0.00648024119437,-1.86264514923e-09,12.561135292053223,0.11308693885803223,2900.0,10.264,0.770829,0.104706728217,934.873119733,4.005925416946411,2.5450282096862793,0.09909343719482422,0.0,0.777746,3.72529029846e-09,-0.00524684414268,2700.0,752.3870778083801,1080.70798554,0.08270549774169922
467.0,0.0,10.2163,0.191677143826,2.425081491470337,621.5,200,2.4058706760406494,0.00546201737598,200,2.32398,2.32919,0.00941394269466,-1.39698386192e-09,12.393889904022217,0.1003108024597168,2800.0,10.2696,0.776083,0.077214568638,883.861414476,4.243438243865967,2.3039588928222656,0.09845304489135742,0.0,0.778303,-3.72529029846e-09,-0.00546201877296,2600.0,765.1785686016083,1078.65089348,0.07669544219970703
453.0,0.0,9.64635,0.18300229221,2.6322882175445557,646.5,200,2.427452325820923,0.00403149053454,200,2.26658,2.27461,0.00706837326288,1.86264514923e-09,12.899269104003906,0.11194777488708496,2900.0,9.72408,0.754473,0.0492709219529,860.169169408,4.186594724655151,2.573471784591675,0.09765100479125977,0.0,0.75783,0.0,-0.0040314886719,2700.0,778.6881196498871,1122.84805294,0.11382365226745605
463.0,0.0,9.33565,0.164215153196,2.607311725616455,602.5,200,2.5104146003723145,0.00525321718305,200,2.23384,2.23898,0.00731578096747,0.0,13.226117849349976,0.11092734336853027,2800.0,9.38378,0.740844,0.0475290960548,862.34042002,4.505826711654663,2.5311944484710693,0.10624289512634277,0.0,0.742819,0.0,-0.00525321718305,2700.0,792.2861361503601,1050.11606501,0.09445405006408691
503.0,0.0,9.39858,0.230543406984,2.450343370437622,637.5,200,2.419168472290039,0.00645688548684,200,2.24056,2.23937,0.00877522490919,-1.39698386192e-09,12.498088359832764,0.10973072052001953,2900.0,9.38742,0.74338,0.0566710455036,910.159876066,4.103733062744141,2.453529119491577,0.0990908145904541,0.0,0.743161,0.0,-0.00645688688383,2700.0,805.2026534080505,1108.53225032,0.08126401901245117
473.0,0.0,9.05933,0.204389049771,2.4569056034088135,642.5,200,2.461552858352661,0.00357777252793,200,2.2038,2.20501,0.00810378789902,1.39698386192e-09,12.83516001701355,0.10332250595092773,2900.0,9.07031,0.730716,0.0384596086333,854.73446169,4.470847845077515,2.4185373783111572,0.10259723663330078,0.0,0.731261,0.0,-0.00357777113095,2700.0,818.4130113124847,1115.77047371,0.08602142333984375
483.5,0.0,8.44044,0.159415976004,2.524367570877075,632.0,200,2.4961605072021484,0.00590301118791,200,2.13303,2.13887,0.00700335670263,3.72529029846e-09,12.874835729598999,0.11104917526245117,2800.0,8.48986,0.705989,0.0400102058548,875.25867605,4.255517959594727,2.5226964950561523,0.10232734680175781,0.0,0.708301,0.0,-0.00590300746262,2700.0,831.6218729019165,1097.12168878,0.08861541748046875
502.5,0.0,8.12801,0.19433267902,2.5696918964385986,652.5,200,2.4519054889678955,0.00374778592959,200,2.09532,2.10119,0.00717268045992,-2.32830643654e-09,13.125595092773438,0.11006283760070801,3000.0,8.17591,0.69297,0.0438930303597,915.283426049,4.415027141571045,2.553445339202881,0.10181522369384766,0.0,0.69502,0.0,-0.0037477882579,2700.0,845.3837933540344,1132.51655617,0.10823678970336914
525.0,0.0,8.02813,0.205019135602,2.513209104537964,643.0,200,2.4115939140319824,0.00360557623208,200,2.08295,2.08009,0.0060966797173,-1.86264514923e-09,12.51652193069458,0.10842514038085938,2900.0,8.00519,0.687766,0.0851287578778,949.460373054,4.005573511123657,2.5037546157836914,0.10070657730102539,0.0,0.686884,7.45058059692e-09,-0.00360557809472,2800.0,858.2437133789062,1116.93822569,0.08188772201538086
