0MaxReturn,1PolicyExecTime,0PolicyExecTime,1MinReturn,1ExplainedVariance,LossBefore,0ExplainedVariance,1Entropy,0StdReturn,1AverageReturn,1NumTrajs,1Perplexity,0AverageReturn,Time,0EnvExecTime,1AveragePolicyStd,0AveragePolicyStd,1EnvExecTime,dLoss,0NumTrajs,0Entropy,LossAfter,0MinReturn,ComputeUpdatedDistTime,1StdReturn,0Perplexity,1MaxReturn,MeanKL,1ProcessExecTime,0ProcessExecTime,MeanKLBefore,ItrTime
2800.0,34.23847150802612,23.418123245239258,0.0,0.183291468103,3.20142135024e-09,0.0938585788472,2.20091,679.446051942,490.25,1600,9.03327,298.25,6212.181339025497,24.16296887397766,0.728256,0.729829,23.949969053268433,0.00278490636265,1600,2.20557,-0.00278490316123,0.0,0.09589242935180664,886.174326812,9.07539,2800.0,0.00899866595864,0.865288257598877,0.9053759574890137,0.0,111.87808585166931
2700.0,38.648154735565186,23.43742609024048,0.0,0.228310355384,-1.97906047106e-09,0.0948500480302,2.20237,697.255232591,634.75,1600,9.04643,311.625,6334.689608573914,24.303929805755615,0.728458,0.728908,25.48992609977722,-1.2805685401e-09,1600,2.20329,-6.98491930962e-10,0.0,0.11490631103515625,980.27671476,9.05473,2900.0,0.0,0.920764684677124,0.911041259765625,1.49011585293e-08,119.5614447593689
2800.0,40.963953256607056,25.650370836257935,0.0,0.204538151056,-3.78349795938e-10,0.0814655327244,2.19686,675.379635719,543.8125,1600,8.99668,304.3125,6463.6864693164825,25.033650159835815,0.726564,0.728908,25.755332708358765,1.36788003147e-09,1600,2.20329,-1.7462298274e-09,0.0,0.11488986015319824,944.708534334,9.05473,2900.0,-1.49011532002e-08,0.9285309314727783,0.9522690773010254,0.0,126.30149626731873
2700.0,41.46045970916748,27.284545421600342,0.0,0.204711013412,-5.82076609135e-10,0.0760794722588,2.20543,684.652637748,563.5,1600,9.07413,307.125,6592.739834308624,25.71752405166626,0.729733,0.728908,25.37182378768921,0.00528706551995,1600,2.20329,-0.00528706610203,0.0,0.13871502876281738,961.940876562,9.05473,2800.0,0.00711662229151,0.920541524887085,0.9960792064666748,0.0,126.34658336639404
2700.0,41.76960277557373,25.733091115951538,0.0,0.244173579532,2.32830643654e-10,0.090313876883,2.18368,669.210308872,581.625,1600,8.87888,297.25,6721.824361085892,25.13779306411743,0.721928,0.724779,25.68592667579651,0.00411137309857,1600,2.19179,-0.00411137286574,0.0,0.1076502799987793,952.864029846,8.95118,2900.0,0.00906844157726,0.9425435066223145,0.9635660648345947,-7.45057793239e-09,125.46790051460266
2800.0,41.921279430389404,26.211236000061035,0.0,0.148649148276,-1.39698386192e-09,0.0843069759592,2.17492,705.589469876,445.25,1600,8.80145,316.0,6850.384872436523,25.411834478378296,0.718761,0.721358,25.323169708251953,-1.45519152284e-09,1600,2.18226,5.82076609135e-11,0.0,0.10928225517272949,845.186333006,8.86628,2800.0,0.0,0.9057269096374512,0.9616129398345947,0.0,125.66090488433838
2700.0,41.429733753204346,26.669665336608887,0.0,0.234140823716,-2.32830643654e-10,0.0630267311791,2.17888,677.889544377,552.0,1600,8.83637,312.875,6978.430619955063,25.049171686172485,0.720284,0.721358,25.33866024017334,-9.31322574615e-10,1600,2.18226,6.98491930962e-10,0.0,0.09693598747253418,951.930144496,8.86628,2900.0,0.0,0.9134500026702881,0.9568886756896973,0.0,125.24191474914551
2700.0,39.7646541595459,26.58567786216736,0.0,0.156877820936,6.98491930962e-10,0.0833939545387,2.1764,695.300561695,512.0,1600,8.81454,319.0625,7104.203969478607,24.894277572631836,0.71922,0.721358,24.94645881652832,0.00556611292996,1600,2.18226,-0.00556611223146,0.0,0.09761834144592285,937.079772485,8.86628,2900.0,0.00545485317707,0.897101879119873,0.9427955150604248,0.0,122.50223016738892
2700.0,39.064802408218384,27.101155281066895,0.0,0.26345916935,-3.49245965481e-10,0.0847654019478,2.15569,714.397812409,668.6875,1600,8.63382,329.125,7229.219314098358,24.827234745025635,0.71156,0.712414,25.03647017478943,0.0027829130413,1600,2.15816,-0.00278291339055,0.0,0.10757708549499512,1034.1123137,8.65523,2900.0,0.00632689194754,0.8913874626159668,0.9415709972381592,0.0,122.21986103057861
2800.0,40.115760803222656,26.40309476852417,0.0,0.217280091413,6.40284270048e-10,0.093349828623,2.14107,727.058690783,537.625,1600,8.50852,345.1875,7354.916258096695,24.909729480743408,0.706461,0.707449,25.46858549118042,0.00401948037324,1600,2.14421,-0.00401947973296,0.0,0.1051168441772461,966.609724436,8.53527,2800.0,0.00907953456044,0.9205605983734131,0.9525151252746582,1.49011487593e-08,123.21268105506897
2900.0,39.65238356590271,26.936502933502197,0.0,0.262350793056,-3.3833202906e-10,0.076320454132,2.12249,686.954829301,606.25,1600,8.35192,316.75,7481.462291240692,25.04409670829773,0.699646,0.698769,25.093780517578125,0.00205390168048,1600,2.12003,-0.00205390201882,0.0,0.10893034934997559,1028.17724031,8.33138,2900.0,0.00949446577579,0.9036571979522705,0.9613363742828369,7.45057793239e-09,123.1376302242279
2800.0,34.87611413002014,23.15748167037964,0.0,0.209092764562,4.65661287308e-10,0.0663245887866,2.10937,679.347113043,540.25,1600,8.24307,300.0,7596.17681145668,23.99760103225708,0.695166,0.694802,23.819000959396362,0.00171940890141,1600,2.10854,-0.00171940843575,0.0,0.10653424263000488,954.026958477,8.23624,2900.0,0.00374000053853,0.8557581901550293,0.9101057052612305,0.0,112.01007509231567
2800.0,35.29106163978577,22.60877537727356,0.0,0.155907246827,2.67755240202e-09,0.0820339836714,2.09896,708.463673976,510.4375,1600,8.15765,328.6875,7711.0259211063385,24.096480131149292,0.691501,0.692307,23.58316707611084,0.00573243747931,1600,2.1014,-0.00573243480176,0.0,0.11164975166320801,923.883005902,8.17763,2800.0,0.00873605255038,0.8398706912994385,0.9146931171417236,0.0,111.54583811759949
2700.0,35.050971031188965,22.944005250930786,0.0,0.215355601806,3.49245965481e-10,0.0854073879489,2.08045,717.028198539,573.1875,1600,8.0081,330.75,7825.567338705063,24.17166757583618,0.685122,0.686249,23.938889980316162,0.00379664206412,1600,2.08379,-0.00379664171487,0.0,0.10431885719299316,1003.36301499,8.03483,2900.0,0.00807547755539,0.8606517314910889,0.9126510620117188,7.45057526785e-09,112.118492603302
