0MinReturn,0PolicyExecTime,1ExplainedVariance,1EnvExecTime,MeanKLBefore,Time,0Perplexity,1ProcessExecTime,1AveragePolicyStd,ComputeUpdatedDistTime,MeanKL,0MaxReturn,0NumTrajs,0EnvExecTime,1AverageReturn,1PolicyExecTime,1StdReturn,1MaxReturn,1NumTrajs,0ExplainedVariance,LossBefore,0StdReturn,1Perplexity,dLoss,1MinReturn,ItrTime,1Entropy,0Entropy,0AveragePolicyStd,0ProcessExecTime,LossAfter,0AverageReturn
0.0,8.850953340530396,0.129359314759,25.862945795059204,-2.60769938976e-09,4217.849739074707,13.6663,0.9561498165130615,0.896492,1.0223028659820557,0.00697412202135,21100.0,400,25.467325448989868,7202.75,28.83788561820984,7039.99413618,21500.0,400,0.0455093352178,-1.49011603057e-09,6303.57438284,13.7066,0.00426438627765,0.0,96.97470664978027,2.61788,2.61493,0.895131,0.9216303825378418,-0.00426438776776,4020.0
0.0,7.815337181091309,0.163925790838,25.79866623878479,2.98023361545e-09,4315.182600736618,13.514,0.9335191249847412,0.891206,0.3825819492340088,0.0064098900184,20400.0,400,25.738929748535156,7115.25,29.406644105911255,7263.02570817,20000.0,400,0.0613931380731,3.98722499462e-10,6166.25607642,13.5515,0.00373892339703,0.0,96.56706953048706,2.6065,2.60373,0.889966,0.9396710395812988,-0.00373892299831,4556.0
0.0,9.761850118637085,0.134026977873,25.651639938354492,9.31323373976e-09,4411.274866819382,13.4993,0.929771900177002,0.891607,0.36078834533691406,0.00616984535009,19700.0,400,25.57451629638672,7516.0,27.784876108169556,6886.66421426,20200.0,400,0.0286061120512,2.61934446355e-10,3808.08835737,13.5707,0.00532922454295,0.0,96.08567500114441,2.60791,2.60264,0.889215,0.9176414012908936,-0.00532922428101,1824.25
0.0,9.477271556854248,0.116954668024,25.589428186416626,8.94069707158e-09,4507.595700502396,13.4719,0.8494677543640137,0.890452,0.36782360076904297,0.00624469295144,15700.0,400,24.726666688919067,4754.75,28.78121519088745,6001.18966852,20600.0,400,0.020754767242,4.07453792928e-11,3263.49098934,13.536,0.004293257877,0.0,95.53179574012756,2.60536,2.60061,0.888283,0.8684875965118408,-0.00429325783625,1518.75
0.0,7.172250747680664,0.17527568944,25.405780792236328,-3.72528852211e-09,4602.5603449344635,13.4942,0.8565225601196289,0.890488,0.3927419185638428,0.00948814675212,21100.0,400,25.25775980949402,8024.75,28.378942728042603,6594.77918034,21700.0,400,0.0401152365466,-1.01281338871e-09,4844.33890614,13.5402,0.00446747281821,0.0,94.95577716827393,2.60566,2.60226,0.888946,0.8874516487121582,-0.00446747383103,2929.25
0.0,7.213545322418213,0.148502753179,25.493849515914917,3.72529029846e-09,4697.608692884445,13.1604,0.8561999797821045,0.87985,0.34581947326660156,0.00722743012011,19700.0,400,24.919328927993774,6737.25,29.764421463012695,6690.95938095,21700.0,400,0.046618641214,-1.688022222e-10,5161.2326471,13.2178,0.00477207714575,0.0,94.28202819824219,2.58157,2.57721,0.877882,0.850632905960083,-0.00477207731456,3555.25
0.0,7.273175954818726,0.157406378363,25.347557306289673,2.98023183909e-09,4791.311350822449,13.0362,0.8930506706237793,0.87505,0.35771942138671875,0.00729255657643,21900.0,400,25.080936193466187,6618.75,28.72280502319336,6460.0714731,21300.0,400,0.043276872413,-9.40781341718e-10,5913.72437111,13.0719,0.004853831129,0.0,93.69772410392761,2.57046,2.56773,0.873821,0.8799960613250732,-0.00485383206978,3753.75
0.0,8.353033304214478,0.108532643925,25.591248750686646,-1.26659784883e-08,4885.583731412888,13.2522,0.849480390548706,0.882922,0.3657705783843994,0.00686467112973,17700.0,400,24.92707133293152,6131.25,27.745816230773926,6973.91198951,20300.0,400,0.0283305856813,8.70204575065e-10,3546.15989487,13.2937,0.0032306354813,0.0,93.56868028640747,2.58729,2.58416,0.88147,0.8646118640899658,-0.0032306346111,1810.0
0.0,9.64676570892334,0.155909984025,25.50621724128723,-5.77419312364e-09,4980.84038567543,12.9176,0.875391960144043,0.874095,0.34149789810180664,0.00807062722743,15900.0,400,25.13206434249878,9090.25,27.799111366271973,7224.36709598,21300.0,400,0.0590757583568,-1.69966374308e-09,3043.39398329,13.0171,0.00545154295396,0.0,95.25165557861328,2.56626,2.55859,0.870664,0.9022548198699951,-0.00545154465362,2051.75
0.0,9.516659021377563,0.120527348133,25.521583795547485,1.8626464815e-09,5079.985705137253,12.8358,0.864220380783081,0.864373,0.3856809139251709,0.00872982200235,22200.0,400,25.285115718841553,6003.5,28.27676296234131,6977.77455569,22300.0,400,0.025555295713,1.68802249956e-10,5758.42806241,12.7463,0.00486506631714,0.0,98.3939962387085,2.54524,2.55223,0.867333,0.8613030910491943,-0.00486506614834,2687.5
