0MaxReturn,MeanKL,Time,LossBefore,1ProcessExecTime,0ProcessExecTime,1Perplexity,0StdReturn,dLoss,LossAfter,1NumTrajs,1MinReturn,1StdReturn,1EnvExecTime,0NumTrajs,1MaxReturn,0Perplexity,1ExplainedVariance,0ExplainedVariance,1PolicyExecTime,MeanKLBefore,ComputeUpdatedDistTime,1AveragePolicyStd,1Entropy,0PolicyExecTime,0Entropy,1AverageReturn,0MinReturn,0AverageReturn,0AveragePolicyStd,0EnvExecTime,ItrTime
1700.0,0.00672385515645,374.75620698928833,3.25962901115e-09,0.06893157958984375,0.05753493309020996,10.7278,417.911473879,0.00473912246525,-0.00473911920562,80,0.0,1114.64049698,1.5894794464111328,80,2900.0,10.855,0.459667911122,0.0797081789785,2.6520633697509766,0.0,0.09372425079345703,0.79425,2.37284,1.198692798614502,2.38463,641.25,0.0,160.0,0.798687,1.2139208316802979,7.47722864151001
1900.0,0.00858243834227,382.3355860710144,-3.72529029846e-09,0.06690835952758789,0.055086612701416016,10.5137,494.910029702,0.0054807504639,-0.00548075418919,80,0.0,1162.26072806,1.4871392250061035,80,2900.0,10.6008,0.482109804878,0.127132235222,2.4825527667999268,0.0,0.08050751686096191,0.787106,2.35268,1.1827585697174072,2.36093,670.0,0.0,213.75,0.790675,1.1732048988342285,7.0502660274505615
1700.0,0.00671857222915,389.61069893836975,4.19095158577e-09,0.0695035457611084,0.05300450325012207,11.2918,433.005484954,0.00266096927226,-0.0026609650813,80,0.0,1146.35223099,1.6040611267089844,80,2800.0,11.3101,0.461617739034,0.106377192543,2.6199700832366943,0.0,0.0764923095703125,0.816061,2.42408,1.1588919162750244,2.4257,661.25,0.0,177.5,0.816849,1.0972092151641846,7.269387722015381
1900.0,0.00800454430282,396.91199254989624,-1.86264514923e-09,0.06408405303955078,0.04847455024719238,10.543,456.944676629,0.00522003602237,-0.00522003788501,80,0.0,1143.42618367,1.4861865043640137,80,2900.0,10.6072,0.467715644767,0.0868324891478,2.4854414463043213,0.0,0.12006473541259766,0.788483,2.35546,1.0344033241271973,2.36153,658.75,0.0,191.25,0.790886,1.019132137298584,6.7951624393463135
1600.0,0.00672864494845,404.0828151702881,4.65661287308e-10,0.0676414966583252,0.05290651321411133,10.4909,421.715247531,0.00336504122242,-0.00336504075676,80,0.0,1163.95809096,1.5797252655029297,80,2900.0,10.6217,0.475183948968,0.0797385178416,2.6006321907043457,0.0,0.08025670051574707,0.785464,2.35051,1.1376979351043701,2.3629,671.25,0.0,187.5,0.790535,1.1247389316558838,7.166337966918945
1700.0,0.00883160717785,411.83413887023926,-4.42378222942e-09,0.06992316246032715,0.051087141036987305,10.9279,396.624428774,0.00469254911877,-0.00469255354255,80,0.0,1155.84857897,1.581202507019043,80,2900.0,10.9715,0.485596481897,0.101195095242,2.6231632232666016,0.0,0.08701300621032715,0.80154,2.39132,1.0973782539367676,2.3953,666.25,0.0,163.75,0.803346,1.0714139938354492,7.142404317855835
1700.0,0.00672289356589,418.85401582717896,-8.14907252789e-09,0.06962704658508301,0.0498814582824707,10.2867,384.461880425,0.00379163795151,-0.00379164610058,80,0.0,1174.3056459,1.5941739082336426,80,2900.0,10.5718,0.478833713173,0.0785046234191,2.6423988342285156,-1.86264532687e-08,0.09593462944030762,0.778553,2.33085,1.028747797012329,2.35819,677.5,0.0,163.75,0.788975,0.9914374351501465,7.014953374862671
1200.0,0.00694873230532,426.29635310173035,1.86264514923e-09,0.06329584121704102,0.051409244537353516,10.6307,337.860918131,0.00697912182659,-0.00697911996394,80,0.0,1161.50764096,1.4739089012145996,80,2900.0,10.5447,0.464527494328,0.0491648380918,2.4944772720336914,-7.4505814851e-09,0.08365559577941895,0.794406,2.36375,1.1258056163787842,2.35562,670.0,0.0,140.0,0.790774,1.0781829357147217,6.928265333175659
1700.0,0.00731748342514,433.0658326148987,2.38651409745e-09,0.06664061546325684,0.04703259468078613,10.5318,425.294015947,0.00216964125866,-0.00216963887215,80,0.0,1066.34598044,1.5233500003814697,80,2700.0,10.4947,0.477130587851,0.0794004027616,2.51613450050354,1.86264537128e-09,0.07882356643676758,0.789818,2.3544,1.0203728675842285,2.35087,612.5,0.0,175.0,0.788197,0.9757575988769531,6.7635338306427
1500.0,0.0094530293718,440.5794987678528,-3.72529029846e-09,0.060446977615356445,0.05157828330993652,10.3046,328.421889496,0.00477041676641,-0.0047704204917,80,0.0,1133.90296653,1.400071620941162,80,2800.0,10.2501,0.480404349215,0.0437802909296,2.39890718460083,0.0,0.10140466690063477,0.782152,2.33259,1.1179215908050537,2.32729,653.75,0.0,116.25,0.780108,1.1156017780303955,6.777327299118042
