0StdReturn,1MaxReturn,0Entropy,0AveragePolicyStd,1AverageReturn,0PolicyExecTime,LossBefore,1NumTrajs,0Perplexity,ItrTime,0AverageReturn,0ProcessExecTime,1MinReturn,1AveragePolicyStd,1ExplainedVariance,1ProcessExecTime,MeanKLBefore,0NumTrajs,LossAfter,dLoss,1Entropy,1StdReturn,MeanKL,0MinReturn,Time,0EnvExecTime,ComputeUpdatedDistTime,0MaxReturn,0ExplainedVariance,1Perplexity,1PolicyExecTime,1EnvExecTime
464.679818083,2900.0,2.15652,0.711762,752.416666667,15.990460634231567,-2.21189111471e-09,1200,8.64099,73.08563184738159,166.0,0.654649019241333,0.0,0.709866,0.397857762083,0.6110906600952148,0.0,1200,-0.00344610400498,0.00344610179309,2.15122,1090.46358325,0.00962933711708,0.0,2555.2519080638885,14.991028070449829,0.07751750946044922,2200.0,0.127558312271,8.59531,23.414928913116455,14.399863004684448
441.14044123,2900.0,2.17084,0.71686,816.5,16.190401315689087,1.16415321827e-10,1200,8.76565,73.84359836578369,155.333333333,0.6647763252258301,0.0,0.717281,0.465139708301,0.609961986541748,0.0,1200,-0.00225329305977,0.00225329317618,2.17204,1142.76466665,0.00717206578702,0.0,2631.07102227211,14.925519227981567,0.07624220848083496,2100.0,0.111233815397,8.77615,23.859181880950928,14.49972915649414
407.41447637,2900.0,2.15792,0.71252,786.75,16.15061855316162,2.56113708019e-09,1200,8.65314,74.35426306724548,129.666666667,0.6569967269897461,0.0,0.711632,0.439578444516,0.6270492076873779,7.4505774883e-09,1200,-0.00375945214182,0.00375945470296,2.15519,1113.64990197,0.00681190518662,0.0,2707.391632795334,14.980701208114624,0.07635688781738281,2200.0,0.112748706251,8.62951,24.061330556869507,14.768657922744751
399.934360934,2900.0,2.15471,0.712114,837.5,14.709798097610474,-5.82076609135e-11,1200,8.62535,73.59990572929382,127.583333333,0.6335620880126953,0.0,0.7094,0.476943617824,0.6331844329833984,0.0,1200,-0.00505887297913,0.00505887292093,2.14711,1121.94492586,0.00993531942368,0.0,2783.090003967285,14.503321647644043,0.08153629302978516,2200.0,0.114848255732,8.56008,24.991540670394897,15.007257461547852
396.608924369,3000.0,2.13095,0.703996,826.583333333,15.084639549255371,5.23868948221e-10,1200,8.42289,74.53345155715942,123.833333333,0.6617341041564941,0.0,0.703123,0.480831596193,0.6325082778930664,0.0,1200,-0.00356047786772,0.00356047839159,2.12844,1126.08539924,0.00706117926165,0.0,2859.576504945755,15.11072850227356,0.10044550895690918,2100.0,0.0958782942959,8.40176,25.018797636032104,14.891300678253174
390.680282755,2900.0,2.09676,0.691222,801.833333333,15.029701232910156,4.32191882282e-09,1200,8.13974,73.97168588638306,126.5,0.6460638046264648,0.0,0.690523,0.439438846789,0.6240854263305664,1.49011549766e-08,1200,-0.00131996290293,0.00131996722484,2.0948,1077.13198149,0.00598049396649,0.0,2935.714695215225,14.856399774551392,0.08092021942138672,2100.0,0.101848286054,8.12379,24.885390758514404,14.824956893920898
354.073428904,2900.0,2.08001,0.685363,934.416666667,14.788126707077026,1.62981450558e-09,1200,8.00453,73.19695901870728,108.583333333,0.6419696807861328,0.0,0.685261,0.507289831051,0.621640682220459,-7.45057793239e-09,1200,-0.0048943888396,0.00489439046942,2.07969,1127.48562137,0.00747036235407,0.0,3010.9863715171814,14.715721368789673,0.08059310913085938,2000.0,0.112460371712,8.00199,24.661295652389526,14.722638607025146
379.631756882,2900.0,2.02987,0.668312,747.083333333,15.142420291900635,3.37604433298e-09,1200,7.61308,73.2706208229065,111.75,0.6557927131652832,0.0,0.667852,0.459516930762,0.6116483211517334,0.0,1200,-0.00448977947235,0.0044897828484,2.02852,1050.97961908,0.00712818372995,0.0,3086.2190046310425,14.913921594619751,0.07943964004516602,2200.0,0.118663308535,7.6028,24.481152057647705,14.380888223648071
311.509753281,2700.0,2.00706,0.660886,596.833333333,15.134350538253784,-5.82076609135e-11,1200,7.44141,74.4544153213501,79.9166666667,0.6570453643798828,0.0,0.661102,0.387661151262,0.6272096633911133,0.0,1200,-0.00559033034369,0.00559033028549,2.0078,890.069270088,0.00666169216856,0.0,3162.605779647827,15.07690978050232,0.08215117454528809,2100.0,0.109015993544,7.44689,25.100716590881348,14.661799669265747
268.549136824,2900.0,1.99855,0.658117,918.333333333,15.258330821990967,5.00585883856e-09,1200,7.37838,73.82186961174011,62.8333333333,0.6691250801086426,0.0,0.659041,0.502402078516,0.6121377944946289,0.0,1200,-0.0068708313629,0.00687083636876,2.00141,1072.28597968,0.00771937984973,0.0,3238.320473909378,15.209162712097168,0.08824443817138672,2100.0,0.111970427146,7.39945,24.40584397315979,14.514119863510132
247.988350981,2900.0,1.96258,0.646343,1005.25,15.108628034591675,-1.83354131877e-09,1200,7.11769,73.62975597381592,48.6666666667,0.6563205718994141,0.0,0.645323,0.526596476838,0.6175038814544678,0.0,1200,-0.0059818062,0.00598180436646,1.95932,1157.61857744,0.00636677118018,0.0,3313.8653678894043,14.945959091186523,0.10402631759643555,1900.0,0.103147756767,7.09454,24.58055305480957,14.601455688476562
